SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
Clc1ccc(cc1)C1(CCC1)NCc1noc(n1)C1COc2c(O1)cccc2,-7.1,-9.43,-9.74,-5.9,-5.88,-8.86,-3.88,-2.87,-7.27,-7.73,-7.18,-6.97,-8.95,-6.88,-6.16,-8.81,-8.55,-10.36
COc1ccc(cc1)C(=O)NCCNC(=O)Nc1c(C)cccc1CC,-4.17,-8.44,-8.48,-5.7,-5.43,-7.39,-2.73,-2.34,-7.09,-7.4,-7.12,-6.23,-7.61,-4.45,-5.4,-7.36,-7.5,-8.7
O=C(c1c(C)[nH]c2c1cccc2)N1CCC(C1)Nc1ccc2n(n1)ccn2,-8.4,-10.16,-10.12,-6.21,-6.13,-8.66,-3.15,-2.97,-6.99,-7.14,-7.94,-7.6,-7.75,-5.44,-5.95,-8.59,-8.37,-8.79
CSc1nc2sc3c(c2c(=O)n1c1ccccc1C)CCCC3,-5.7,-8.41,-8.4,-5.84,-5.85,-7.29,-3.17,-3.08,-6.2,-6.97,-7.37,-6.9,-7.24,-5.34,-5.39,-7.59,-7.76,-8.96
COc1ccc(cc1)N(C(=O)CN1C(=O)NC2(C1=O)CCC(CC2)C)Cc1cccs1,-5.96,-9.62,-9.59,-5.61,-5.67,-7.49,-2.22,-2.8,-7.07,-7.58,-7.27,-7.72,-7.45,-5.08,-6.11,-8.06,-8.72,-9.67
COc1ccnc(n1)N(Cc1csc(n1)C)C,-4.37,-5.77,-5.96,-4.44,-4.48,-4.92,-2.35,-2.51,-4.74,-4.26,-5.38,-4.45,-5.78,-3.87,-4.36,-6.21,-6.2,-6.68
Cc1cc(C)c(c(=O)[nH]1)CNc1nc2cc(nn2c2c1cccc2)C,-6.01,-8.62,-8.61,-6.04,-6.04,-8.08,-3.04,-3.31,-7.47,-8.0,-7.73,-7.52,-8.65,-5.65,-6.37,-9.65,-9.35,-10.27
Cc1cccc(c1)COc1cccc(c1)C(=O)NCCCN1C(=O)NC2(C1=O)CCCC2,-9.21,-9.65,-10.13,-5.14,-6.1,-7.77,-2.39,-2.15,-7.93,-7.48,-7.53,-7.72,-7.86,-5.9,-5.29,-8.36,-8.51,-10.25
Fc1cccc(c1)NC(=O)N1CCCCC1CN1CCCC1=O,-4.82,-7.81,-7.78,-5.25,-4.82,-6.75,-2.99,-2.97,-5.65,-5.98,-7.61,-6.41,-6.99,-4.34,-5.4,-8.21,-7.13,-7.99
NC(=O)CCOc1ccccc1NC(=O)c1cc(F)c(cc1Cl)Cl,-4.86,-8.57,-8.29,-4.92,-5.19,-6.9,-2.18,-2.1,-6.81,-6.95,-6.91,-7.11,-7.53,-4.73,-5.51,-7.51,-7.37,-7.97
